"PercOracleORD","MSE-Norm","MSE-SoC","PerImpOverTO","MissclassPerc"
0.989352117290523,12.59,12800,1.03120648701777,0.7482
1,0,12800,1.0409312489494,1
1,0,12800,1.03561689116602,1
1,0,12800,1.0387967152673,1
1,0,12800,1.06053149606299,1
1,0,12800,1.03664392216326,1
1,0,12800,1.04044642107913,1
1,0,12800,1.06209014692455,1
0.990618513906185,12.45,12800,1.03055209630552,0.751
0.990593523682677,12.57,12800,1.02905186048448,0.7486
1,0,12800,1.04118955432902,1
0.989960822722821,12.28,12800,1.02824028730003,0.7544
1,0,12800,1.04061379367859,1
1,0,12800,1.04309252217997,1
1,0,12800,1.04314994606257,1
1,0,12800,1.05899875879189,1
1,0,12800,1.06005459508644,1
1,0,12800,1.03663703580626,1
1,0,12800,1.04196682861451,1
1,0,12800,1.03738003030813,1
0.988180841391851,12.37,12800,1.03091164559054,0.7526
1,0,12800,1.03882850742554,1
1,0,12800,1.06381023970601,1
1,0,12800,1.03946706887883,1
1,0,12800,1.03882441345913,1
0.990575479566305,12.15,12800,1.03211009174312,0.757
1,0,12800,1.03975690048113,1
1,0,12800,1.06205971150621,1
0.990846301073479,12.61,12800,1.02712823500042,0.7478
1,0,12800,1.03893408600365,1
0.944492423647641,149.84,12800,1,0.2508
0.989874876522884,12.69,12800,1.02741191965756,0.7462
1,0,12800,1.05573445627942,1
0.991840133222315,12.29,12800,1.03030807660283,0.7542
1,0,12800,1.05852480852481,1
0.990940824468085,12.7,12800,1.02842420212766,0.746
1,0,12800,1.04183028854362,1
1,0,12800,1.04242830789871,1
0.967760180995475,37.48,12800,1.00880736910149,0.2504
1,0,12800,1.05939605690042,1
1,0,12800,1.03857071297379,1
1,0,12800,1.03904303040372,1
1,0,12800,1.04121565362198,1
1,0,12800,1.04368240127442,1
1,0,12800,1.04063018242123,1
1,0,12800,1.05910028889806,1
1,0,12800,1.04100551194254,1
0.989501529304786,12.24,12800,1.03273538893941,0.7552
1,0,12800,1.0391479562464,1
0.97112,37.44,12800,1.00904,0.2512
0.989171178675552,12.77,12800,1.03023740108288,0.7446
1,0,12800,1.03794642857143,1
0.942964587903478,149.4,12800,0.980100282043247,0.253
1,0,12800,1.04050780923745,1
1,0,12800,1.03677973028198,1
1,0,12800,1.06163405827525,1
1,0,12800,1.0583430571762,1
1,0,12800,1.05973506623344,1
1,0,12800,1.04137697134136,1
1,0,12800,1.03904303040372,1
1,0,12800,1.06038242200604,1
0.989692435577722,12.44,12800,1.03050706566916,0.7512
1,0,12800,1.05966804979253,1
1,0,12800,1.05940347970174,1
1,0,12800,1.0384551078415,1
0.970602409638554,37.74,12800,1.0081124497992,0.2452
1,0,12800,1.03675370031598,1
1,0,12800,1.0605527638191,1
1,0,12800,1.06146750524109,1
1,0,12800,1.03635759940234,1
1,0,12800,1.04162121339263,1
1,0,12800,1.06215921483097,1
1,0,12800,1.04161051212938,1
1,0,12800,1.03958821560094,1
1,0,12800,1.04045564955189,1
1,0,12800,1.11464019851117,1
0.971165594200538,37.76,12800,1.00912274985746,0.2448
0.972755118491053,37.4,12800,1.00991455747219,0.252
0.99183605464845,11.98,12800,1.03140619793402,0.7604
1,0,12800,1.04001342169281,1
1,0,12800,1.06126696079247,1
1,0,12800,1.03837009100598,1
1,0,12800,1.0621369032584,1
1,0,12800,1.03701288113484,1
1,0,12800,1.04081979760184,1
1,0,12800,1.0390696134426,1
1,0,12800,1.06085730868087,1
1,0,12800,1.04129595433943,1
0.962962962962963,50,12800,1,0
1,0,12800,1.03773899974952,1
1,0,12800,1.03969769952662,1
1,0,12800,1.03791390728477,1
0.97120207086232,37.46,12800,1.00954538100631,0.2508
0.988431243846406,12.6,12800,1.0307679684936,0.748
0.989909939959973,12.8,12800,1.03118745830554,0.744
0.971269917914051,37.6,12800,1.01102526959601,0.248
1,0,12800,1.03954429125733,1
0.990857425253274,12.54,12800,1.0289926694671,0.7492
1,0,12800,1.03910288477572,1
0.959261668563994,50,12800,1,0
1,0,12800,1.03776118150541,1
1,0,12800,1.06040549597855,1
1,0,12800,1.03790688092295,1
1,0,12800,1.06210605933272,1
1,0,12800,1.03893306825712,1
0.958884688090737,50,12800,1,0
1,0,12800,1.0412440271607,1
1,0,12800,1.0401224354732,1
1,0,12800,1.03919614681947,1
1,0,12800,1.0427513931631,1
1,0,12800,1.04173314300109,1
1,0,12800,1.05832351455984,1
0.989840952618869,12.35,12800,1.02997751686235,0.753
1,0,12800,1.03569057104914,1
1,0,12800,1.04005674705833,1
1,0,12800,1.04038718291055,1
0.970595422334447,37.11,12800,1.00912274985746,0.2578
0.989166946590527,12.41,12800,1.03132348001344,0.7518
0.990489697171936,12.01,12800,1.03095019604572,0.7598
0.990180836265445,12.41,12800,1.02962114393258,0.7518
1,0,12800,1.03682813536828,1
0.94540864626065,150.12,12800,1,0.2494
0.989576493762311,12.64,12800,1.04661851608667,0.7472
1,0,12800,1.03708975217683,1
1,0,12800,1.06310025273799,1
1,0,12800,1.05920668058455,1
1,0,12800,1.05674833712217,1
1,0,12800,1.06239037835129,1
1,0,12800,1.03970429437661,1
0.989017293664454,12.4,12800,1.03147283009589,0.752
1,0,12800,1.03986820428336,1
1,0,12800,1.05756592629565,1
1,0,12800,1.06139984983732,1
1,0,12800,1.05933189296992,1
1,0,12800,1.03884977521418,1
0.991603556140929,13,12800,1.02683569311821,0.74
1,0,12800,1.03830244870946,1
0.990642493107194,12.76,12800,1.03032834823294,0.7448
1,0,12800,1.11517367458867,1
1,0,12800,1.0606135986733,1
1,0,12800,1.04139433551198,1
1,0,12800,1.03873732794857,1
1,0,12800,1.0546190712279,1
0.990213965831813,12.08,12800,1.03035329241997,0.7584
1,0,12800,1.04259903862092,1
1,0,12800,1.03848088531187,1
1,0,12800,1.03814262023217,1
1,0,12800,1.0358206485771,1
1,0,12800,1.1123212504157,1
1,0,12800,1.0597920997921,1
0.990546817700269,12.33,12800,1.03088582837585,0.7534
1,0,12800,1.03965199933077,1
0.971250598945855,37.17,12800,1.00958313368471,0.2566
0.942156554542597,148.16,12800,1,0.2592
1,0,12800,1.06027924086615,1
1,0,12800,1.03921568627451,1
1,0,12800,1.06579502319696,1
1,0,12800,1.04096104112789,1
1,0,12800,1.04027069930654,1
1,0,12800,1.03923007911263,1
1,0,12800,1.06383157894737,1
0.960464561291862,50,12800,1,0
0.960542144518406,50,12800,1,0
1,0,12800,1.04129129129129,1
1,0,12800,1.04222888555722,1
1,0,12800,1.0405485482096,1
1,0,12800,1.0621632822213,1
1,0,12800,1.04198634179243,1
0.989507600793126,12.09,12800,1.02990746860542,0.7582
0.990191229805473,12.29,12800,1.02909660402242,0.7542
0.989875709934974,12.07,12800,1.03094904930447,0.7586
1,0,12800,1.03943283832536,1
1,0,12800,1.03763843783829,1
0.963508374463953,50,12800,1,0
1,0,12800,1.06191924311539,1
0.941755153029357,151.08,12800,0.982667083073079,0.2446
1,0,12800,1.03994341349755,1
1,0,12800,1.04201750729471,1
0.971081037538263,37.98,12800,1.00869985500242,0.2404
1,0,12800,1.05796739853626,1
1,0,12800,1.03924039996639,1
0.9623237724842,50,12800,1,0
1,0,12800,1.03962152572442,1
1,0,12800,1.03874092009685,1
1,0,12800,1.06491447642887,1
1,0,12800,1.06347335634313,1
1,0,12800,1.03871342120534,1
1,0,12800,1.03856127143455,1
1,0,12800,1.05804992461049,1
1,0,12800,1.04191616766467,1
1,0,12800,1.03923860410753,1
1,0,12800,1.03867955985328,1
1,0,12800,1.04403456297773,1
1,0,12800,1.03683902765015,1
1,0,12800,1.03795908306631,1
1,0,12800,1.04113391655451,1
0.971252402306214,37.71,12800,1.00816784112748,0.2458
1,0,12800,1.04050675112519,1
1,0,12800,1.04175677923806,1
1,0,12800,1.04110612855007,1
1,0,12800,1.05937291527685,1
0.972090745878897,37.96,12800,1.00889505467602,0.2408
0.990183844938025,12.25,12800,1.03044671824307,0.755
1,0,12800,1.04092600248036,1
1,0,12800,1.04009710363302,1
1,0,12800,1.06037641572285,1
1,0,12800,1.04310838445808,1
1,0,12800,1.03978607892391,1
1,0,12800,1.06046319272126,1
1,0,12800,1.04168044988422,1
1,0,12800,1.0381994110223,1
1,0,12800,1.03903330288182,1
0.969149983590417,37.4,12800,1.00902527075812,0.252
1,0,12800,1.05993193326139,1
1,0,12800,1.06212007660921,1
0.991166666666667,12.34,12800,1.03041666666667,0.7532
0.991399082568807,12.16,12800,1.03153669724771,0.7568
1,0,12800,1.03862912686442,1
1,0,12800,1.03721548429972,1
0.989208931684237,12.43,12800,1.03195816385822,0.7514
1,0,12800,1.06002152496068,1
1,0,12800,1.04046049887378,1
1,0,12800,1.03949033836807,1
1,0,12800,1.04023463317911,1
1,0,12800,1.03874232619877,1
1,0,12800,1.04023807527873,1
1,0,12800,1.03779069767442,1
1,0,12800,1.03668500917125,1
1,0,12800,1.03925499039506,1
0.960990911284485,50,12800,1,0
0.989466754443713,12.37,12800,1.02542791310072,0.7526
1,0,12800,1.03875197079081,1
1,0,12800,1.06437163002903,1
0.989408357467935,12.63,12800,1.03177492759619,0.7474
