"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
3.177348101366e-07,5.02013527399641e-74,4.35713506535155e-39,1.93271336186998e-45,7.20082881557766e-92,6.55774812268135e-45,2.36984465299252e-49,4.45893898524608e-100,1.08837413229541e-120,6.05409340126401e-80
9.73814797115934e-13,2.81043264127215e-61,7.62165638372556e-38,1.23902294146058e-38,2.98301428341149e-93,1.10997380887558e-49,1.50618184080336e-48,5.24859662611827e-91,7.35003432789191e-110,3.55551547216423e-70
8.09822812489479e-11,1.25958657036488e-83,6.53480529234436e-42,1.21459164182851e-49,3.85383786750919e-93,4.72932758186617e-57,1.21613906890962e-64,4.62066742299059e-118,7.32602553110239e-112,1.37185042704349e-53
2.79347346639973e-11,1.71101822680487e-63,3.71554352369869e-36,1.54708067885822e-52,1.14216451670627e-98,1.48456324822119e-52,2.33173104325538e-53,6.34116144870099e-114,2.37840903537437e-112,9.92302974237593e-73
3.10033766053805e-07,6.72121494852036e-79,1.43062984743404e-29,1.40960355717729e-43,8.600399349409e-113,1.54436445331048e-59,2.0018005113407e-59,2.04923483929657e-123,5.74119712301489e-106,6.19087414716667e-75
8.04122533531985e-10,6.02173214400096e-76,6.36367537649815e-28,1.78174139622621e-47,2.28999960015563e-94,1.50796168432282e-44,3.52839768505059e-54,7.12556558116885e-92,2.36519725425347e-126,4.16761312118803e-70
8.48408177755554e-13,1.59750661125654e-84,3.35763150676865e-42,7.98954567482896e-43,2.84580592352458e-95,1.70982201975063e-55,6.98973288191473e-67,4.40153144211171e-99,7.49996178241301e-130,1.58487592851187e-81
1.84288694527709e-13,9.04849973425479e-80,4.47656612722133e-28,9.83163180044532e-47,7.64215504595214e-90,1.86073535822295e-41,4.25633697628311e-52,8.06155233178673e-91,1.05496868400251e-108,1.3925512611628e-74
2.41452807499016e-07,2.59605964842006e-62,2.18990240783196e-34,2.66618672657721e-46,2.8717929582237e-87,5.82667227200922e-40,4.52038089245848e-48,1.6438603619106e-94,2.86809910379028e-107,3.0105744321528e-68
4.04842932044624e-08,9.76016074067317e-75,1.78467441255979e-27,1.07927960351719e-43,1.28184191073081e-94,7.74133902338119e-47,3.31073851740709e-44,1.38123475972919e-114,2.20313715153443e-112,6.23003149086227e-64
5.55681136147819e-10,1.2431645515534e-61,9.94663583754345e-39,3.64398758141435e-34,2.95614023921781e-80,2.80912968668088e-44,1.38249577727701e-48,1.08124989879474e-100,5.6535531020648e-120,6.73827986087902e-83
2.00451552962917e-07,7.88479363200713e-56,3.77498479484235e-23,1.0887327108707e-35,1.12625750640658e-69,4.7295203587047e-31,7.09558375285063e-46,3.57324329725447e-88,3.04863965313754e-101,1.13805574416625e-55
8.77703879293168e-05,8.56597528084219e-74,1.38830509432872e-39,3.51746084581475e-40,1.31933304486536e-78,5.31804977436481e-40,7.93763675115407e-60,2.93615497872991e-105,2.23827012601886e-114,9.59578406993401e-61
5.21687843167456e-10,3.41491714571658e-88,6.68983363018143e-33,1.95402976031519e-46,5.20901087588872e-98,6.72590577373615e-44,1.57655786801735e-43,6.30704965614537e-100,6.81948213534423e-92,1.12250241687791e-55
4.80455216676317e-10,5.11719997154277e-65,3.24202955870249e-27,1.5863386070598e-56,1.45510844450491e-77,1.41231808297279e-46,1.17394524842742e-48,6.21174343871384e-117,3.42452631976819e-124,5.99468725586619e-56
9.9915775313332e-07,9.41306549731106e-90,2.20606681093223e-32,1.47053169707854e-39,9.65549743970797e-91,2.61544465624195e-47,9.28810274260701e-51,4.96431327375302e-99,9.79519824699093e-114,1.27316788130653e-51
5.55475993246217e-14,2.01770847314071e-100,3.22354888650041e-36,9.73826398020448e-48,6.10271035684962e-128,7.46883685112675e-46,1.35033102826402e-64,1.33955755433752e-126,5.48422412527599e-138,1.96559496720762e-80
8.09397614247121e-09,1.04300739271337e-82,2.96984669873329e-28,1.29667731751141e-39,9.28618486115069e-95,7.1749256811369e-52,2.41864880383494e-52,1.50255583942556e-111,4.39396464457826e-139,3.58375952939474e-56
3.30151357689917e-23,8.06442061934967e-70,7.56771299766269e-47,3.92465200842866e-62,1.63491662550698e-113,2.73866225108144e-62,3.74736367916994e-76,1.23312613302312e-107,5.59715620118309e-136,8.85928187684106e-97
7.00868071455229e-12,1.08286706064115e-82,1.53011243041034e-45,3.56028228723652e-28,1.412767475712e-80,2.66651177025354e-47,3.13657834625439e-57,2.96530953597052e-90,2.74831416238237e-138,1.20708579555131e-73
0.000175664167400972,7.6890583345731e-50,1.86497275903493e-19,1.31129688234105e-39,2.08925167971167e-79,3.36114584825776e-40,2.57091391632733e-57,5.81842431286549e-89,2.28444973959679e-105,1.15598590918354e-60
1.36286104261247e-06,4.69420586235531e-64,7.10034106081608e-23,2.66347535270855e-33,3.29874127484676e-75,6.29074516453886e-51,1.26792234902762e-54,9.52375363333025e-80,3.01502850513551e-122,8.16007430148845e-73
7.64304811981988e-08,1.54151727870243e-73,7.83812870951282e-32,3.46767464198377e-33,4.68671079499963e-105,1.53331188161309e-56,8.06686568745233e-44,1.40168591022949e-104,2.7537866315822e-125,6.28101190511236e-55
1.64279764816943e-09,3.54661345275484e-65,3.86660999496323e-28,5.0781894308245e-47,1.1345640021185e-91,4.04607273533366e-51,4.97172052316569e-67,1.22934901212841e-111,3.07865384105971e-121,1.57191375361855e-71
6.54069716451901e-08,3.15724536069057e-66,1.08411369645163e-36,2.83346792704464e-44,2.77910429485622e-93,2.30555386468455e-46,8.56501032519536e-59,8.6818453915236e-98,3.73752505431566e-101,1.53382771812464e-76
2.58509415631349e-12,9.65563539035751e-73,7.22925444581662e-32,3.84169208928236e-35,1.78800324735077e-105,7.58735206432112e-45,3.6501650577306e-62,4.03342480833391e-107,1.44000257763406e-122,2.06657328275292e-70
1.12233131356422e-10,2.34182297278081e-59,8.20091770585678e-35,1.77109886471551e-36,3.76131338453651e-82,5.44231815258422e-54,1.03610129705984e-42,1.05446531203729e-95,1.16080590902265e-112,1.17048276058314e-56
1.51652981330557e-15,2.34853946499382e-76,1.11797749221727e-38,1.87282687060157e-44,2.32326549266415e-95,1.47238666571181e-54,2.74169434914078e-64,8.97725781417335e-119,6.52714028636968e-109,7.03392397212504e-78
4.26801567711529e-08,1.96066243782473e-84,2.51068385640439e-30,3.68468027575495e-45,5.30075456559213e-95,2.05288039513393e-48,4.55221218665743e-51,8.10921494195466e-100,9.61410605504014e-132,3.59057465553343e-75
7.05062590143245e-14,1.00841485026886e-83,5.95476410355666e-43,3.20331802689609e-57,3.66637266520614e-109,4.97937062421618e-49,9.89085364472439e-73,8.76051955439099e-107,3.3700635052227e-123,1.26641663765493e-78
8.7009553243368e-08,4.30615215019862e-74,5.73843825574165e-35,1.95357145068245e-40,1.40319064635242e-94,1.03183280230938e-51,1.40371951750993e-60,1.25191506406309e-96,3.74872189717344e-107,3.54246278935108e-71
