Dwell,Music,Dwell:Music,Dwell:B1,Music:B1,Music:FirstCysto
0.029923442080448375,1.0969701543755354e-8,0.1504993498748858,3.785894965570635e-4,4.4114410014445325e-18,0.0021557918934490216
1.158783620686863e-6,4.960004631587786e-16,1.1853200313397741e-4,0.033828380462574345,7.761737116885831e-25,7.274535947418434e-4
3.848278981966517e-7,4.631281014588521e-17,3.906328149665219e-4,0.011513022344883847,2.555388931234527e-29,6.028026275307031e-4
0.01142961544975417,2.640104111542547e-12,1.8652210925059517e-4,0.0026175184245541775,1.767138224697275e-25,0.008672215279583867
4.2932419249936636e-11,1.8718617975499145e-10,1.061143291957207e-5,3.9270562418285516e-5,8.720703484010896e-20,2.2572380682708433e-4
0.0031314422942828168,3.059726177459253e-18,0.0015118322159702689,0.004719358452323125,4.000949301615038e-23,0.12706260792542268
1.45798443078778e-4,1.5505701081767832e-10,0.04585919695508044,2.781717368871515e-4,1.851232306302743e-22,0.013241784919078898
0.0037551955581636553,4.709291288144284e-11,0.001997627228175445,0.033420339997243226,7.170415198737127e-25,7.780752043269032e-5
2.8850647082701925e-6,7.015814222524839e-15,0.001151655131705279,0.0020167520882484013,7.773410445095116e-35,0.030572199882824117
7.411608703685188e-4,4.560718653724239e-10,0.012413505155739257,5.746125456348275e-5,8.815200160810828e-18,3.7203742438057745e-5
2.036795871145452e-5,3.6539303257882306e-10,0.0036922422840267584,2.8309708774325973e-5,1.5570069273124966e-22,0.0012902308708852817
8.552799196545786e-4,8.3279589661258275e-19,0.0012536129239293708,0.0027620737702818586,1.25970295834855e-25,0.0450526284849484
4.3792750565452916e-4,5.182546054536005e-13,0.0011430279028032827,0.036191742867018824,1.1544660767467617e-24,0.0026515696916254573
1.0422518100649022e-7,8.837418699861715e-12,4.09867621593023e-5,3.122264048390335e-4,1.2383706699794574e-16,0.0014730574126153855
7.362198828726499e-4,3.938779345127984e-14,0.03773003867060412,0.004281849186160841,5.8786989831054396e-27,0.0011303670550080766
8.207887536180241e-5,2.759464837501425e-13,6.022092744762134e-4,0.002993495188959977,1.3508628500502637e-25,6.729930330220966e-5
2.1544082046978414e-4,4.050875064919578e-10,0.029035525003610178,1.3384083490615127e-4,5.762241211051745e-23,0.004520461215180223
0.02232573271541755,3.538505337318753e-11,0.05834670606683863,0.01425664672313418,1.2229369825587796e-23,5.438779448990301e-4
2.010237266346381e-4,2.3856573915681738e-18,5.123984550857778e-4,0.038961047002112684,7.882891248955498e-32,4.5656370405037274e-4
0.0020279677873689937,3.8454213025557293e-8,0.09082097396490559,5.041507576409384e-4,3.688581609352527e-30,4.0504867923617467e-7
0.006264158123048283,9.13650291639062e-20,0.0033179198435424975,0.0387423818842765,3.328910497088606e-33,0.001422878052501915
2.2338524376000013e-4,2.796944260724635e-7,0.007981306193626957,0.008968130120332062,4.06760714153863e-23,8.466980254227788e-6
5.359657537007756e-4,1.1397772040216845e-10,0.08168699924693922,0.05824675963494599,8.500280705326347e-25,0.004703084617538615
0.0036102740270570733,1.482348229334004e-8,0.06399299327488185,0.0025605192602587068,2.242190728844758e-19,0.001152455333577653
